"Player","Chips Won","Hands","VPIP","Limp","WWSF","WSD","!!!0 WWSD","!!!0 All-In Equity Adjusted BB/100","PFR","3Bet PF","Bet F","Bet Flop (limp pot)","Bet Total","WTSD %","(BTN) VPIP (16+) ","(BTN) VPIP (13+)","(BTN) VPIP (12-16)","(BTN) VPIP (09_13) "
"**51chloé**","2,000","12","66.67","57.14","62.50","100.00","99","249.60","16.67","16.67","50.00","100.00","57.14","50.00","50","50","NaN","NaN"
"**sergi**117","900","12","66.67","42.86","88.89","80.00","80","155.77","41.67","50.00","71.43","33.33","46.15","55.56","NaN","99","50","50"
"-MIKELCAM-","500","38","33.33","27.27","50.00","66.67","67","-55.82","5.71","7.14","33.33","50.00","30.00","37.50","0","0","0","0"
"0000amigo","133,086","11","45.45","50.00","40.00","100.00","99","-76.73","11.11","0.00","33.33","33.33","33.33","20.00","NaN","NaN","NaN","NaN"
"1AlphaZero","1,000","19","42.11","33.33","66.67","100.00","99","104.79","22.22","22.22","33.33","0.00","44.44","16.67","0","0","0","NaN"
"1betan","-500","22","22.73","22.22","42.86","50.00","50","-69.91","5.88","0.00","66.67","50.00","75.00","28.57","99","99","0","0"
"1marblanco1","-300","26","72.73","64.29","57.14","66.67","67","-0.39","5.26","0.00","11.11","20.00","18.18","64.29","99","50","0","99"
"1one2time","-600","11","54.55","16.67","16.67","25.00","25","-98.70","42.86","NaN","50.00","0.00","33.33","66.67","NaN","50","50","99"
"500Valentin","-330","14","69.23","66.67","40.00","50.00","50","70.38","8.33","25.00","33.33","33.33","18.18","60.00","NaN","99","99","0"
"__outspoker_","-254","15","20.00","0.00","50.00","0.00","0","9.24","25.00","0.00","100.00","NaN","100.00","50.00","NaN","99","99","NaN"
"A Tamzarian","197,598","40","70.00","61.54","57.69","78.57","79","120.62","16.67","0.00","56.25","77.78","58.33","53.85","NaN","NaN","NaN","NaN"
"AA614","-500","14","64.29","28.57","25.00","33.33","33","27.43","50.00","100.00","66.67","100.00","85.71","75.00","0","0","NaN","NaN"
"AAKK8733","-300","12","50.00","42.86","66.67","50.00","50","109.91","11.11","0.00","100.00","100.00","100.00","66.67","NaN","0","0","NaN"
"aambre1733","-1,000","35","41.18","36.84","18.75","50.00","50","-57.68","0.00","0.00","18.18","0.00","13.33","37.50","99","99","NaN","NaN"
"abloconpablo","1,960","26","43.48","37.50","53.85","83.33","83","10.23","9.09","0.00","16.67","20.00","25.00","46.15","99","99","NaN","NaN"
"ac.jeff888","1,000","23","19.05","10.00","100.00","100.00","99","56.31","12.50","0.00","33.33","0.00","57.14","60.00","33","33","NaN","NaN"
"achile974","0","106","67.65","33.93","39.58","52.63","53","5.55","36.36","21.62","33.33","38.89","35.19","39.58","83","83","NaN","0"
"adolfo365","2,186","53","61.22","73.33","51.72","75.00","75","84.83","7.14","10.53","26.32","22.22","47.06","41.38","99","99","99","99"
"Adsocas31","300","13","90.91","100.00","63.64","71.43","71","61.10","0.00","0.00","0.00","0.00","21.43","63.64","NaN","99","99","99"
"Aejon","-500","48","42.22","8.33","40.00","50.00","50","-42.51","33.33","26.32","33.33","100.00","37.50","26.67","NaN","NaN","NaN","NaN"
"Agnes23","1,000","14","71.43","100.00","60.00","100.00","99","253.29","16.67","25.00","0.00","0.00","0.00","60.00","99","99","NaN","NaN"
"Agusdipe96","490","19","75.00","61.54","50.00","100.00","99","13.97","13.33","0.00","60.00","0.00","60.00","37.50","99","99","0","33"
"ahannaba","-500","37","22.22","25.00","57.14","80.00","80","-52.42","0.00","0.00","0.00","0.00","0.00","71.43","33","33","NaN","NaN"
"aie ya aie!","21","11","45.45","42.86","16.67","NaN","NaN","9.55","0.00","0.00","0.00","0.00","12.50","0.00","0","0","NaN","NaN"
"airesc","-300","16","31.25","12.50","25.00","25.00","25","-41.89","16.67","0.00","0.00","NaN","50.00","100.00","NaN","0","0","NaN"
"Aka92","255","12","66.67","83.33","66.67","60.00","60","15.78","0.00","0.00","0.00","0.00","30.77","55.56","99","75","0","NaN"
"Akatoto","301","115","44.14","24.14","45.24","66.67","67","-25.07","23.81","7.89","24.00","0.00","37.21","42.86","17","19","50","99"
"al137","-1,895","23","4.35","0.00","75.00","100.00","99","46.08","5.56","0.00","33.33","33.33","60.00","25.00","NaN","NaN","NaN","NaN"
"AlaBenne","600","12","36.36","16.67","80.00","100.00","99","-65.25","10.00","0.00","50.00","NaN","33.33","60.00","NaN","99","99","NaN"
"alaurenxis","-1,000","14","46.15","33.33","28.57","25.00","25","-93.39","15.38","0.00","40.00","0.00","57.14","57.14","50","60","99","NaN"
"alcolike","-3,980","35","0.00","0.00","NaN","NaN","NaN","-33.40","0.00","0.00","NaN","NaN","NaN","NaN","0","0","NaN","NaN"
