"VPIP","PFR","WSD","WWSF","WSD","3Bet PF","Fold to PF 3Bet","All-In Adj BB/100","Player","Chips Won","Hands"
"31.34","25.20","57.89","37.21","57.89","21.05","57.14","-22.49","AceVentura59","-220","139"
"48.98","41.38","77.78","54.05","77.78","10.00","66.67","93.94","adri_pea","3,270","103"
"56.69","48.72","68.18","43.48","68.18","15.79","92.86","-48.62","Agenda_2030","1,061","131"
"33.54","33.33","66.67","53.57","66.67","9.52","91.67","-39.71","Albertini_bcn","226","163"
"54.31","13.08","50.00","35.94","50.00","0.00","0.00","-5.43","asdez1","-604","117"
"48.64","25.09","66.67","51.20","66.67","7.69","66.67","6.72","AutoFlow29","3,349","310"
"45.45","29.23","56.52","32.69","56.52","9.76","80.00","-20.35","awaro_ice","491","148"
"42.16","30.68","62.50","43.59","62.50","11.11","60.00","-13.75","Balthazarrr","240","106"
"26.38","21.43","70.83","60.00","70.83","4.76","100.00","7.46","BORNTOGOBROKE","1,428","169"
"42.02","27.62","50.00","44.12","50.00","17.86","75.00","-7.46","Brazilteamo","171","124"
"41.11","24.69","50.00","34.92","50.00","11.11","100.00","11.80","chemitemcono","-1,848","185"
"43.62","35.23","55.56","53.13","55.56","8.33","100.00","-15.34","ConLasBuenas","769","101"
"48.59","19.38","45.00","34.69","45.00","9.76","80.00","-23.93","daniel228","-2,641","145"
"54.35","21.50","53.06","42.20","53.06","9.09","53.85","22.29","Didier59260","-756","238"
"48.08","33.70","66.67","45.95","66.67","10.71","90.00","2.64","Draconnis","1,236","110"
"30.41","26.86","58.33","37.50","58.33","15.91","100.00","-2.17","Elfhu","523","204"
"43.82","30.49","62.50","42.65","62.50","17.65","66.67","-5.99","Eltharion","1,834","185"
"48.70","28.06","48.28","40.35","48.28","2.86","100.00","-12.88","Fitetu","23","162"
"47.71","38.78","40.91","46.67","40.91","18.52","57.14","-36.92","Gaubett","-674","113"
"62.38","26.60","50.00","43.86","50.00","16.67","33.33","-65.38","Gdlachance","647","105"
"61.11","4.95","66.67","45.00","66.67","3.03","100.00","8.18","gege13","-484","114"
"67.83","13.59","50.00","38.24","50.00","2.78","42.86","0.58","gege307","503","117"
"43.27","32.29","46.15","38.24","46.15","9.09","33.33","-21.74","Granada4ever","-1,303","113"
"48.96","19.05","47.83","43.18","47.83","4.00","50.00","24.85","grandblek","-770","102"
"30.51","21.50","64.29","48.72","64.29","3.57","85.71","27.07","GTO_777","338","121"
"53.54","23.71","33.33","36.59","33.33","11.43","100.00","-74.73","guevara666","-2,552","102"
"35.34","26.67","38.46","37.14","38.46","12.00","83.33","-13.02","HeronGalant","-808","120"
"35.37","32.14","56.76","47.30","56.76","25.93","90.00","16.90","iZo0o","355","253"
"46.64","31.01","52.83","42.59","52.83","14.29","80.00","-32.58","j0rge91","-2,168","312"
"34.90","24.24","59.38","45.45","59.38","17.14","12.50","-0.29","Jeremi78","-229","156"
"51.02","7.37","62.50","40.38","62.50","8.11","0.00","-4.46","Jsm4477","-705","105"
"35.48","27.97","42.86","26.47","42.86","13.89","100.00","-18.82","Juanan9","-1,061","128"
"36.61","27.27","50.00","55.32","50.00","15.91","33.33","11.50","juanlhermosa","-122","192"
"28.18","20.79","42.86","25.93","42.86","9.68","100.00","-19.93","kitfarel75","256","112"
"39.92","26.07","52.63","48.10","52.63","8.89","70.00","-6.12","LaFoldeuse","272","252"
"38.71","19.83","64.71","41.67","64.71","3.70","62.50","0.94","luisitorm1977","86","128"
"51.64","19.17","48.48","38.46","48.48","7.32","57.14","31.03","mamour44780","-778","131"
"38.13","32.28","40.00","34.15","40.00","25.81","60.00","12.07","Marco Mouly","-2,392","143"
"34.17","22.04","54.55","39.66","54.55","10.00","60.00","-10.64","matsumoku","-1,143","214"
"28.65","22.35","35.00","25.53","35.00","18.00","100.00","-44.39","Matthinio-10","-4,238","202"
"47.53","33.33","58.06","56.06","58.06","17.95","70.00","-7.01","Mjollnir999","1,249","166"
"33.91","25.47","55.56","31.71","55.56","0.00","71.43","-36.53","morfalou44","-1,796","121"
"38.24","22.22","61.90","44.19","61.90","10.71","66.67","-24.62","mrloxa","171","107"
